time_received,False,True
14793109708,0,4
14793109709,0,4
14793109710,0,5
14793109711,0,5
14793109712,0,5
14793109713,0,5
14793109714,0,4
14793109715,0,4
14793109716,0,5
14793109717,0,4
14793109718,0,4
14793109719,0,6
14793109720,0,4
14793109721,0,3
14793109722,0,4
14793109723,0,3
14793109724,0,3
14793109725,0,5
14793109726,0,4
14793109727,0,3
14793109728,0,4
14793109729,0,3
14793109730,0,3
14793109731,0,4
14793109732,0,5
14793109733,0,3
14793109734,0,6
14793109735,0,5
14793109736,0,3
14793109737,0,4
14793109738,0,5
14793109739,0,5
14793109740,0,4
14793109741,0,5
14793109742,0,6
14793109743,0,5
14793109744,0,5
14793109745,0,6
14793109746,0,5
14793109747,0,4
14793109748,0,3
14793109749,0,7
14793109750,0,4
14793109751,0,3
14793109752,0,4
14793109753,0,4
14793109754,0,3
14793109755,0,6
14793109756,0,4
14793109757,0,4
14793109758,0,3
14793109759,0,4
14793109760,0,4
14793109761,0,4
14793109762,0,4
14793109763,0,4
14793109764,0,4
14793109765,0,5
14793109766,0,5
14793109767,0,4
14793109768,0,4
14793109769,0,4
14793109770,0,4
14793109771,0,4
14793109772,0,5
14793109773,0,4
14793109774,0,3
14793109775,0,3
14793109776,0,3
14793109777,0,3
14793109778,0,3
14793109779,0,3
14793109780,0,2
14793109781,0,3
14793109782,0,4
14793109783,0,1
14793109784,0,3
14793109785,0,3
14793109786,0,3
14793109787,0,4
14793109788,0,4
14793109789,0,5
14793109790,0,2
14793109791,0,3
14793109792,0,4
14793109793,0,3
14793109794,0,3
14793109795,0,3
14793109796,0,3
14793109797,0,2
14793109798,0,4
14793109799,0,3
14793109800,0,2
14793109801,0,3
14793109802,0,3
14793109803,0,4
14793109804,0,3
14793109805,0,4
14793109806,0,3
14793109807,0,3
14793109808,0,4
14793109809,0,4
14793109810,0,2
14793109811,0,3
14793109812,0,4
14793109813,0,4
14793109814,0,4
14793109815,0,4
14793109816,0,3
14793109817,0,5
14793109818,0,3
14793109819,0,4
14793109820,0,4
14793109821,0,3
14793109822,0,5
14793109823,0,4
14793109824,0,4
14793109825,0,4
14793109826,0,4
14793109827,0,4
14793109828,0,4
14793109829,0,4
14793109830,0,4
14793109831,0,5
14793109832,0,3
14793109833,0,4
14793109834,0,5
14793109835,0,5
14793109836,0,3
14793109837,0,3
14793109838,0,5
14793109839,0,4
14793109840,0,6
14793109841,0,5
14793109842,0,7
14793109843,0,6
14793109844,0,6
14793109845,0,6
14793109846,0,5
14793109847,0,5
14793109848,0,6
14793109849,0,4
14793109850,0,3
14793109851,0,5
14793109852,0,5
14793109853,0,5
14793109854,0,4
14793109855,0,4
14793109856,0,5
14793109857,0,5
14793109858,0,6
14793109859,0,3
14793109860,0,6
14793109861,0,6
14793109862,0,7
14793109863,0,4
14793109864,0,5
14793109865,0,4
14793109866,0,4
14793109867,0,4
14793109868,0,2
14793109869,0,4
14793109870,0,4
14793109871,0,4
14793109872,0,5
14793109873,0,6
14793109874,0,7
14793109875,0,5
14793109876,0,5
14793109877,0,7
14793109878,0,7
14793109879,0,6
14793109880,0,6
14793109881,0,7
14793109882,0,4
14793109883,0,5
14793109884,0,4
14793109885,0,4
14793109886,0,5
14793109887,0,7
14793109888,0,5
14793109889,0,5
14793109890,0,8
14793109891,0,7
14793109892,0,7
14793109893,0,8
14793109894,0,9
14793109895,0,6
14793109896,0,6
14793109897,0,6
14793109898,0,5
14793109899,0,6
14793109900,0,5
14793109901,0,7
14793109902,0,6
14793109903,0,5
14793109904,0,4
14793109905,0,6
14793109906,0,6
14793109907,0,8
14793109908,0,4
14793109909,0,7
14793109910,0,6
14793109911,0,6
14793109912,0,6
14793109913,0,5
14793109914,0,7
14793109915,0,6
14793109916,0,5
14793109917,0,6
14793109918,0,5
14793109919,0,7
14793109920,0,4
14793109921,0,5
14793109922,0,6
14793109923,0,6
14793109924,0,5
14793109925,0,5
14793109926,0,7
